Product Name,Main Specs,Additional Specs,Derived Models
Intel H3C XG310,"Graphics Processor: DG1 x4
Cores: 768 x4
TMUs: 48 x4
ROPs: 24 x4
Memory Size: 8 GB x4
Memory Type: LPDDR4X
Bus Width: 128 bit x4","Graphics Processor:
GPU Name: DG1
Architecture: Generation 12.1
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: 95 mm²

Graphics Card:
Release Date: Nov 11th, 2020
Availability: 2021
Generation: H3C Graphics
Predecessor: Knights Corner
Successor: Data Center GPU
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1050 MHz
Boost Clock: 1100 MHz
Memory Clock: 2133 MHz 4.3 Gbps effective

Memory:
Memory Size: 8 GB
Memory Type: LPDDR4X
Memory Bus: 128 bit
Bandwidth: 68.26 GB/s

Render Config:
Shading Units: 768
TMUs: 48
ROPs: 24
Execution Units: 96
L2 Cache: 1024 KB
L3 Cache: 16 MB

Theoretical Performance:
Pixel Rate: 26.40 GPixel/s
Texture Rate: 52.80 GTexel/s
FP16 (half): 3.379 TFLOPS (2:1)
FP32 (float): 1.690 TFLOPS
FP64 (double): 422.4 GFLOPS (1:4)

Board Design:
Slot Width: Single-slot
TDP: 300 W
Suggested PSU: 700 W
Outputs: No outputs
Power Connectors: 1x 8-pin
Board Number: RS41GPUX16FHFL VER.B

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.6

",없음
Intel Iris Plus Graphics G7 64EU Mobile,"Graphics Processor: Ice Lake GT2
Cores: 512
TMUs: 32
ROPs: 8
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Ice Lake GT2
Architecture: Generation 11.0
Foundry: Intel
Process Size: 10 nm+
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: May 4th, 2020
Generation: HD Graphics-M (Ice Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1050 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 512
TMUs: 32
ROPs: 8
Execution Units: 64

Theoretical Performance:
Pixel Rate: 8.400 GPixel/s
Texture Rate: 33.60 GTexel/s
FP16 (half): 2.150 TFLOPS (2:1)
FP32 (float): 1,075 GFLOPS
FP64 (double): 268.8 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

",없음
Intel Iris Xe Graphics G4 48EU Mobile,"Graphics Processor: Tiger Lake GT2
Cores: 384
TMUs: 24
ROPs: 12
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Tiger Lake GT2
Architecture: Generation 12.1
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: 146 mm²
Chip Package: FCBGA-1449/1598

Integrated Graphics:
Release Date: Sep 2nd, 2020
Generation: HD Graphics-M (Tiger Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1100 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 384
TMUs: 24
ROPs: 12
Execution Units: 48
L3 Cache: 3.75 MB

Theoretical Performance:
Pixel Rate: 13.20 GPixel/s
Texture Rate: 26.40 GTexel/s
FP16 (half): 1.690 TFLOPS (2:1)
FP32 (float): 844.8 GFLOPS
FP64 (double): 211.2 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.6

",없음
Intel Iris Xe Graphics G7 80EU Mobile,"Graphics Processor: Tiger Lake GT2
Cores: 640
TMUs: 40
ROPs: 20
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Tiger Lake GT2
Architecture: Generation 12.1
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: 146 mm²
Chip Package: FCBGA-1449/1598

Integrated Graphics:
Release Date: Sep 2nd, 2020
Generation: HD Graphics-M (Tiger Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1100 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 640
TMUs: 40
ROPs: 20
Execution Units: 80
L2 Cache: 1024 KB
L3 Cache: 3.75 MB

Theoretical Performance:
Pixel Rate: 22.00 GPixel/s
Texture Rate: 44.00 GTexel/s
FP16 (half): 2.816 TFLOPS (2:1)
FP32 (float): 1,408 GFLOPS
FP64 (double): 352.0 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.6

",없음
Intel Iris Xe Graphics G7 96EU Mobile,"Graphics Processor: Tiger Lake GT2
Cores: 768
TMUs: 48
ROPs: 24
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Tiger Lake GT2
Architecture: Generation 12.1
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: 146 mm²
Chip Package: FCBGA-1449/1598

Integrated Graphics:
Release Date: Sep 2nd, 2020
Generation: HD Graphics-M (Tiger Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1100 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 768
TMUs: 48
ROPs: 24
Execution Units: 96
L2 Cache: 1024 KB
L3 Cache: 3.75 MB

Theoretical Performance:
Pixel Rate: 26.40 GPixel/s
Texture Rate: 52.80 GTexel/s
FP16 (half): 3.379 TFLOPS (2:1)
FP32 (float): 1.690 TFLOPS
FP64 (double): 422.4 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.6

",없음
Intel Iris Xe MAX Graphics,"Graphics Processor: DG1
Cores: 768
TMUs: 48
ROPs: 24
Memory Size: 4 GB
Memory Type: LPDDR4X
Bus Width: 128 bit","Graphics Processor:
GPU Name: DG1
Architecture: Generation 12.1
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: 95 mm²

Graphics Card:
Release Date: Oct 31st, 2020
Generation: Xe Graphics
Predecessor: Graphics
Successor: Alchemist
Production: Active
Bus Interface: PCIe 4.0 x8
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1650 MHz
Memory Clock: 2133 MHz 4.3 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: LPDDR4X
Memory Bus: 128 bit
Bandwidth: 68.26 GB/s

Render Config:
Shading Units: 768
TMUs: 48
ROPs: 24
Execution Units: 96
L2 Cache: 1024 KB
L3 Cache: 16 MB

Theoretical Performance:
Pixel Rate: 39.60 GPixel/s
Texture Rate: 79.20 GTexel/s
FP16 (half): 5.069 TFLOPS (2:1)
FP32 (float): 2.534 TFLOPS
FP64 (double): 633.6 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 25 W
Suggested PSU: 200 W
Outputs: No outputs

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.6

",없음
Intel UHD Graphics 16EU Mobile,"Graphics Processor: Elkhart Lake GT1
Cores: 128
TMUs: 8
ROPs: 4
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Elkhart Lake GT1
Architecture: Generation 11.0
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Sep 23rd, 2020
Generation: HD Graphics-E (Elkhart Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 250 MHz
Boost Clock: 750 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 128
TMUs: 8
ROPs: 4
Execution Units: 16

Theoretical Performance:
Pixel Rate: 3.000 GPixel/s
Texture Rate: 6.000 GTexel/s
FP16 (half): 384.0 GFLOPS (2:1)
FP32 (float): 192.0 GFLOPS
FP64 (double): 48.00 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 9 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

",없음
Intel UHD Graphics 32EU Mobile,"Graphics Processor: Elkhart Lake GT1
Cores: 256
TMUs: 16
ROPs: 8
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Elkhart Lake GT1
Architecture: Generation 11.0
Foundry: Intel
Process Size: 10 nm
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Sep 23rd, 2020
Generation: HD Graphics-E (Elkhart Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 400 MHz
Boost Clock: 750 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 256
TMUs: 16
ROPs: 8
Execution Units: 32

Theoretical Performance:
Pixel Rate: 6.000 GPixel/s
Texture Rate: 12.00 GTexel/s
FP16 (half): 768.0 GFLOPS (2:1)
FP32 (float): 384.0 GFLOPS
FP64 (double): 96.00 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 9 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

",없음
Intel UHD Graphics 610,"Graphics Processor: Comet Lake GT1
Cores: 96
TMUs: 12
ROPs: 2
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Comet Lake GT1
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm+++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Apr 30th, 2020
Generation: HD Graphics (Comet Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 350 MHz
Boost Clock: 1050 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 96
TMUs: 12
ROPs: 2
Execution Units: 12

Theoretical Performance:
Pixel Rate: 2.100 GPixel/s
Texture Rate: 12.60 GTexel/s
FP16 (half): 403.2 GFLOPS (2:1)
FP32 (float): 201.6 GFLOPS
FP64 (double): 50.40 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Motherboard Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel UHD Graphics 630,"Graphics Processor: Comet Lake GT2
Cores: 184
TMUs: 23
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Comet Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm+++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Apr 30th, 2020
Generation: HD Graphics (Comet Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 350 MHz
Boost Clock: 1150 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 184
TMUs: 23
ROPs: 3
Execution Units: 23

Theoretical Performance:
Pixel Rate: 3.450 GPixel/s
Texture Rate: 26.45 GTexel/s
FP16 (half): 846.4 GFLOPS (2:1)
FP32 (float): 423.2 GFLOPS
FP64 (double): 105.8 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Motherboard Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

",없음
