인텔® 제품 사양 비교
2024/05/02 22:36:26
 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Core™ Ultra 3 processor 105UL ,Intel® Core™ Ultra 5 processor 125HL ,Intel® Core™ Ultra 5 processor 125UL ,Intel® Core™ Ultra 5 processor 135HL ,Intel® Core™ Ultra 5 processor 135UL ,Intel® Core™ Ultra 7 processor 155HL ,Intel® Core™ Ultra 7 processor 155UL ,Intel® Core™ Ultra 7 processor 165HL ,Intel® Core™ Ultra 7 processor 165UL 
주요 정보
제품 콜렉션,Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1)
수직 분야,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
프로세서 번호,155H,125H,185H,135H,165H,155U,135U,165U,125U,134U,164U,105UL,125HL,125UL,135HL,135UL,155HL,155UL,165HL,165UL

CPU 사양
코어 수,16,14,16,14,16,12,12,12,12,12,12,8,14,12,14,12,16,12,16,12
Performance-core의 수,6,4,6,4,6,2,2,2,2,2,2,2,4,2,4,2,6,2,6,2
Efficient-core의 수,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8
저전력 Efficient-cores 수,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
총 스레드 수,22,18,22,18,22,14,14,14,14,14,14,10,18,14,18,14,22,14,22,14
최대 터보 주파수,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz
인텔® 터보 부스트 맥스 기술 3.0 주파수 ‡,4.8 GHz,,5.1 GHz,,5 GHz,,,,,,,,,,,,4.8 GHz,,5 GHz,
Performance-core 최대 터보 주파수,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz
Efficient-core 최대 터보 주파수,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.5 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz
저전력 Efficient-core 최대 터보 주파수,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz
Performance-core 기본 주파수,1.4 GHz,1.2 GHz,2.3 GHz,1.7 GHz,1.4 GHz,1.7 GHz,1.6 GHz,1.7 GHz,1.3 GHz,700 MHz,1.1 GHz,1.5 GHz,1.2 GHz,1.3 GHz,1.7 GHz,1.6 GHz,1.4 GHz,1.7 GHz,1.4 GHz,1.7 GHz
Efficient-core 기본 주파수,900 MHz,700 MHz,1.8 GHz,1.2 GHz,900 MHz,1.2 GHz,1.1 GHz,1.2 GHz,800 MHz,500 MHz,700 MHz,1 GHz,700 MHz,800 MHz,1.2 GHz,1.1 GHz,900 MHz,1.2 GHz,900 MHz,1.2 GHz
저전력 Efficient-core 기본 주파수,700 MHz,700 MHz,1 GHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,400 MHz,400 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz
캐시,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB,18 MB,12 MB,18 MB,12 MB,24 MB,12 MB,24 MB,12 MB
프로세서 기반 성능,28 W,28 W,45 W,28 W,28 W,15 W,15 W,15 W,15 W,9 W,9 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W
최대 터보 성능,115 W,115 W,115 W,115 W,115 W,57 W,57 W,57 W,57 W,30 W,30 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W
최소 보장 성능,20 W,20 W,35 W,20 W,20 W,12 W,12 W,12 W,12 W,,,12 W,20 W,12 W,20 W,12 W,20 W,12 W,20 W,12 W
인텔® 딥 러닝 부스트,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
