인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:34:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Intel® Core™ i3-8100T Processor,Intel® Core™ i3-12100F Processor,Intel® Core™ i3-12100TE Processor,Intel® Core™ i3-12100E Processor,Intel® Core™ i3-12300HE Processor,Intel® Core™ i3-12100 Processor,Intel® Core™ i3-8100H Processor,Intel® Core™ i3-8145UE Processor,Intel® Core™ i3-9100E Processor,Intel® Core™ i3-9100HL Processor,Intel® Core™ i3-9100TE Processor,Intel® Core™ i3-10110U Processor,Intel® Core™ i3-10320 Processor,Intel® Core™ i3-10300 Processor,Intel® Core™ i3-10300T Processor,Intel® Core™ i3-10100 Processor,Intel® Core™ i3-10100T Processor,Intel® Core™ i3-10325 Processor,Intel® Core™ i3-10105T Processor,Intel® Core™ i3-10305 Processor,Intel® Core™ i3-10105 Processor,Intel® Core™ i3-10305T Processor,Intel® Core™ i3-10100F Processor,Intel® Core™ i3-10105F Processor,Intel® Core™ i3-10100E Processor,Intel® Core™ i3-10100TE Processor,Intel® Core™ i3-1115GRE Processor,Intel® Core™ i3-1115G4E Processor,Intel® Core™ i3-11100HE Processor,Intel® Core™ i3-12300HL Processor,Intel® Core™ i3-12300 Processor,Intel® Core™ i3-12300T Processor,Intel® Core™ i3-12100T Processor,Intel® Core™ i3-1220P Processor,Intel® Core™ i3-1215U Processor,Intel® Core™ i3-1215U Processor,Intel® Core™ i3-1210U Processor,Intel® Core™ i3-1215UE Processor,Intel® Core™ i3-1220PE Processor,Intel® Core™ i3-13100 Processor,Intel® Core™ i3-13100F Processor,Intel® Core™ i3-13100T Processor,Intel® Core™ i3-1215UL Processor,Intel® Core™ i3-N305 Processor,Intel® Core™ i3-N300 Processor,Intel® Core™ i3-13100TE Processor,Intel® Core™ i3-1315U Processor,Intel® Core™ i3-13300HE Processor,Intel® Core™ i3-13100E Processor,Intel® Core™ i3-1320PE Processor,Intel® Core™ i3-1305U Processor,Intel® Core™ i3-1315UE Processor,Intel® Core™ i3-1315U Processor,Intel® Core™ i3-1320PRE Processor,Intel® Core™ i3-13300HRE Processor,Intel® Core™ i3-1315URE Processor,Intel® Core™ i3 processor 14100,Intel® Core™ i3 processor 14100T,Intel® Core™ i3 processor 14100F,Intel® Core™ i3-6100U Processor,Intel® Core™ i3-6100TE Processor,Intel® Core™ i3-6100E Processor,Intel® Core™ i3-6102E Processor,Intel® Core™ i3-6100 Processor,Intel® Core™ i3-7100U Processor,Intel® Core™ i3-7102E Processor,Intel® Core™ i3-7101TE Processor,Intel® Core™ i3-7101E Processor,Intel® Core™ i3-7100E Processor
주요 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제품 콜렉션,8세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,8세대 인텔® 코어™ i3 프로세서,8세대 인텔® 코어™ i3 프로세서,9세대 인텔® 코어™ i3 프로세서,9세대 인텔® 코어™ i3 프로세서,9세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,10세대 인텔® 코어™ i3 프로세서,11세대 인텔® 코어™ i3 프로세서,11세대 인텔® 코어™ i3 프로세서,11세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,12세대 인텔® 코어™ i3 프로세서,인텔® 코어™ i3 프로세서 N-시리즈,인텔® 코어™ i3 프로세서 N-시리즈,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13세대 인텔® 코어™ i3 프로세서,13th Generation Intel® Core™ i3 Processors,Intel® Core™ i3 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),6세대 인텔® 코어™ i3 프로세서,6세대 인텔® 코어™ i3 프로세서,6세대 인텔® 코어™ i3 프로세서,6세대 인텔® 코어™ i3 프로세서,6세대 인텔® 코어™ i3 프로세서,7세대 인텔® 코어™ i3 프로세서,7세대 인텔® 코어™ i3 프로세서,7세대 인텔® 코어™ i3 프로세서,7세대 인텔® 코어™ i3 프로세서,7세대 인텔® 코어™ i3 프로세서
수직 분야,Desktop,Desktop,Embedded,Embedded,Embedded,Desktop,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Embedded,Desktop,Mobile,Embedded,Desktop,Desktop,Embedded
프로세서 번호,i3-8100T,i3-12100F,i3-12100TE,i3-12100E,i3-12300HE,i3-12100,i3-8100H,i3-8145UE,i3-9100E,i3-9100HL,i3-9100TE,i3-10110U,i3-10320,i3-10300,i3-10300T,i3-10100,i3-10100T,i3-10325,i3-10105T,i3-10305,i3-10105,i3-10305T,i3-10100F,i3-10105F,i3-10100E,i3-10100TE,i3-1115GRE,i3-1115G4E,i3-11100HE,i3-12300HL,i3-12300,i3-12300T,i3-12100T,i3-1220P,i3-1215U,i3-1215U,i3-1210U,i3-1215UE,i3-1220PE,i3-13100,i3-13100F,i3-13100T,i3-1215UL,i3-N305,i3-N300,i3-13100TE,i3-1315U,i3-13300HE,i3-13100E,i3-1320PE,i3-1305U,i3-1315UE,i3-1315U,i3-1320PRE,i3-13300HRE,i3-1315URE,i3-14100,i3-14100T,i3-14100F,i3-6100U,i3-6100TE,i3-6100E,i3-6102E,i3-6100,i3-7100U,i3-7102E,i3-7101TE,i3-7101E,i3-7100E
리소그래피,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
사용 조건,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet
고객 권장가격,$117.00,$107.00-$117.00,$138.00,$138.00,$306.00,$134.00-$144.00,$225.00,$281.00,$122.00,$225.00,$122.00,$309.00,$169.00-$179.00,$157.00-$167.00,$157.00,$134.00-$144.00,$134.00,$169.00,$134.00,$157.00-$167.00,$134.00-$144.00,$157.00,$107.00-$117.00,$107.00-$117.00,$138.00,$138.00,$338.00,$285.00,$233.00,,$157.00,$157.00,$134.00,$309.00,$309.00,$309.00,,$285.00,$295.00,$134.00-$144.00,$109.00-$119.00,$134.00,,$309.00,$309.00,$137.00,$309.00,$312.00,$137.00,$312.00,$309.00,$312.00,$309.00,$341.00,$345.00,$338.00,$134.00-$144.00,$134.00,$109.00-$119.00,$281.00,$117.00,$225.00,$225.00,$117.00,$281.00,$225.00,$117.00,$117.00,$225.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
