인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:23:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Intel® Core™ i7-8700 Processor,Intel® Core™ i7-8700T Processor,Intel® Core™ i7-12700TE Processor,Intel® Core™ i7-1270PE Processor,Intel® Core™ i7-12700E Processor,Intel® Core™ i7-12700H Processor,Intel® Core™ i7-12700 Processor,Intel® Core™ i7-12700F Processor,Intel® Core™ i7-12700K Processor,Intel® Core™ i7-12700KF Processor,Intel® Core™ i7-12700T Processor,Intel® Core™ i7-8850H Processor,Intel® Core™ i7-8665UE Processor,Intel® Core™ i7-9700E Processor,Intel® Core™ i7-9850HE Processor,Intel® Core™ i7-9700TE Processor,Intel® Core™ i7-9850HL Processor,Intel® Core™ i7-10510U Processor,Intel® Core™ i7-10750H Processor,Intel® Core™ i7-10700TE Processor,Intel® Core™ i7-10700E Processor,Intel® Core™ i7-1185G7E Processor,Intel® Core™ i7-1185GRE Processor,Intel® Core™ i7-1185G7 Processor,Intel® Core™ i7-1195G7 Processor,Intel® Core™ i7-11850HE Processor,Intel® Core™ i7-12800HE Processor,Intel® Core™ i7-12800HX Processor,Intel® Core™ i7-12800H Processor,Intel® Core™ i7-12650H Processor,Intel® Core™ i7-1280P Processor,Intel® Core™ i7-1260P Processor,Intel® Core™ i7-1270P Processor,Intel® Core™ i7-1265U Processor,Intel® Core™ i7-1255U Processor,Intel® Core™ i7-1250U Processor,Intel® Core™ i7-1260U Processor,Intel® Core™ i7-1265UE Processor,Intel® Core™ i7-12850HX Processor,Intel® Core™ i7-12700HL Processor,Intel® Core™ i7-12650HX Processor,Intel® Core™ i7-12800HL Processor,Intel® Core™ i7-13700KF Processor,Intel® Core™ i7-13700 Processor,Intel® Core™ i7-13700F Processor,Intel® Core™ i7-13700T Processor,Intel® Core™ i7-13700K Processor,Intel® Core™ i7-1255UL Processor,Intel® Core™ i7-1265UL Processor,Intel® Core™ i7-13650HX Processor,Intel® Core™ i7-13700H Processor,Intel® Core™ i7-13620H Processor,Intel® Core™ i7-13700TE Processor,Intel® Core™ i7-13705H Processor,Intel® Core™ i7-1365U Processor,Intel® Core™ i7-1370P Processor,Intel® Core™ i7-13800HE Processor,Intel® Core™ i7-1360P Processor,Intel® Core™ i7-1355U Processor,Intel® Core™ i7-13850HX Processor,Intel® Core™ i7-13800H Processor,Intel® Core™ i7-13700HX Processor,Intel® Core™ i7-13700E Processor,Intel® Core™ i7-1370PE Processor,Intel® Core™ i7-1365UE Processor,Intel® Core™ i7-1375PRE Processor,Intel® Core™ i7-1370PRE Processor,Intel® Core™ i7-13800HRE Processor,Intel® Core™ i7-1366URE Processor,Intel® Core™ i7-1365URE Processor,Intel® Core™ i7 processor 14650HX,Intel® Core™ i7 processor 14700HX,Intel® Core™ i7 processor 14700,Intel® Core™ i7 processor 14700K,Intel® Core™ i7 processor 14700KF,Intel® Core™ i7 processor 14700T,Intel® Core™ i7 processor 14700F,Intel® Core™ i7-6600U Processor,Intel® Core™ i7-6700 Processor,Intel® Core™ i7-6700TE Processor,Intel® Core™ i7-6820EQ Processor,Intel® Core™ i7-6822EQ Processor,Intel® Core™ i7-7700T Processor,Intel® Core™ i7-7820EQ Processor,Intel® Core™ i7-7700 Processor,Intel® Core™ i7-7600U Processor
주요 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제품 콜렉션,8세대 인텔® 코어™ i7 프로세서,8세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,8세대 인텔® 코어™ i7 프로세서,8세대 인텔® 코어™ i7 프로세서,9세대 인텔® 코어™ i7 프로세서,9세대 인텔® 코어™ i7 프로세서,9세대 인텔® 코어™ i7 프로세서,9세대 인텔® 코어™ i7 프로세서,10세대 인텔® 코어™ i7 프로세서,10세대 인텔® 코어™ i7 프로세서,10세대 인텔® 코어™ i7 프로세서,10세대 인텔® 코어™ i7 프로세서,11세대 인텔® 코어™ i7 프로세서,11세대 인텔® 코어™ i7 프로세서,11세대 인텔® 코어™ i7 프로세서,11세대 인텔® 코어™ i7 프로세서,11세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,12세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13th Generation Intel® Core™ i7 Processors,13세대 인텔® 코어™ i7 프로세서,13세대 인텔® 코어™ i7 프로세서,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),6세대 인텔® 코어™ i7 프로세서,6세대 인텔® 코어™ i7 프로세서,6세대 인텔® 코어™ i7 프로세서,6세대 인텔® 코어™ i7 프로세서,6세대 인텔® 코어™ i7 프로세서,7세대 인텔® 코어™ i7 프로세서,7세대 인텔® 코어™ i7 프로세서,7세대 인텔® 코어™ i7 프로세서,7세대 인텔® 코어™ i7 프로세서
수직 분야,Desktop,Desktop,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Embedded,Embedded,Embedded,Desktop,Embedded,Desktop,Mobile
프로세서 번호,i7-8700,i7-8700T,i7-12700TE,i7-1270PE,i7-12700E,i7-12700H,i7-12700,i7-12700F,i7-12700K,i7-12700KF,i7-12700T,i7-8850H,i7-8665UE,i7-9700E,i7-9850HE,i7-9700TE,i7-9850HL,i7-10510U,i7-10750H,i7-10700TE,i7-10700E,i7-1185G7E,i7-1185GRE,i7-1185G7,i7-1195G7,i7-11850HE,i7-12800HE,i7-12800HX,i7-12800H,i7-12650H,i7-1280P,i7-1260P,i7-1270P,i7-1265U,i7-1255U,i7-1250U,i7-1260U,i7-1265UE,i7-12850HX,i7-12700HL,i7-12650HX,i7-12800HL,i7-13700KF,i7-13700,i7-13700F,i7-13700T,i7-13700K,i7-1255UL,i7-1265UL,i7-13650HX,i7-13700H,i7-13620H,i7-13700TE,i7-13705H,i7-1365U,i7-1370P,i7-13800HE,i7-1360P,i7-1355U,i7-13850HX,i7-13800H,i7-13700HX,i7-13700E,i7-1370PE,i7-1365UE,i7-1375PRE,i7-1370PRE,i7-13800HRE,i7-1366URE,i7-1365URE,i7-14650HX,i7-14700HX,i7-14700,i7-14700K,i7-14700KF,i7-14700T,i7-14700F,i7-6600U,i7-6700,i7-6700TE,i7-6820EQ,i7-6822EQ,i7-7700T,i7-7820EQ,i7-7700,i7-7600U
리소그래피,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
사용 조건,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Extended Temp |  Industrial Extended Temp,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,,,,,,,,Embedded Broad Market Commercial Temp,,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,,,,Embedded Broad Market Commercial Temp,,,,Embedded Broad Market Commercial Temp,,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,Industrial Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,Industrial Commercial Temp
고객 권장가격,$303.00,$303.00,$378.00,$441.00,$378.00,$502.00,$373.00-$383.00,$345.00-$355.00,$450.00-$460.00,$422.00-$432.00,$373.00,$395.00,$409.00,$323.00,$395.00,$323.00,$395.00,$450.00,$435.00,$363.00,$363.00,$431.00,$490.00,$426.00,$469.00,$400.00,$460.00,$502.00,$457.00,$502.00,$482.00,$480.00,$438.00,$426.00,$469.00,$469.00,,$429.00,$428.00,$430.00,$472.00,$457.00,$384.00-$394.00,$384.00-$394.00,$359.00-$369.00,$384.00,$409.00-$419.00,,,$485.00,$502.00,$502.00,$390.00,$502.00,$426.00,$438.00,$460.00,$480.00,$469.00,$428.00,$457.00,$485.00,$390.00,$441.00,$429.00,,$477.00,$496.00,$493.00,$463.00,$495.00,$495.00,$384.00-$394.00,$409.00-$419.00,$384.00-$394.00,$384.00,$359.00-$369.00,$393.00,$303.00,$303.00,$378.00,$378.00,$303.00,$378.00,$303.00,$393.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
