인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:25:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Intel® Core™ i9-12900TE Processor,Intel® Core™ i9-12900E Processor,Intel® Core™ i9-12900H Processor,Intel® Core™ i9-12900HK Processor,Intel® Core™ i9-12900 Processor,Intel® Core™ i9-12900F Processor,Intel® Core™ i9-12900K Processor,Intel® Core™ i9-12900KF Processor,Intel® Core™ i9-12900T Processor,Intel® Core™ i9-10900TE Processor,Intel® Core™ i9-10900E Processor,Intel® Core™ i9-12900KS Processor,Intel® Core™ i9-12950HX Processor,Intel® Core™ i9-12900HX Processor,Intel® Core™ i9-13900K Processor,Intel® Core™ i9-13900KF Processor,Intel® Core™ i9-13900T Processor,Intel® Core™ i9-13900 Processor,Intel® Core™ i9-13900F Processor,Intel® Core™ i9-13900E Processor,Intel® Core™ i9-13900H Processor,Intel® Core™ i9-13980HX Processor,Intel® Core™ i9-13900HK Processor,Intel® Core™ i9-13950HX Processor,Intel® Core™ i9-13900TE Processor,Intel® Core™ i9-13900KS Processor,Intel® Core™ i9-13900HX Processor,Intel® Core™ i9-13905H Processor,Intel® Core™ i9 processor 14900HX,Intel® Core™ i9 processor 14900K,Intel® Core™ i9 processor 14900KF,Intel® Core™ i9 processor 14900T,Intel® Core™ i9 processor 14900,Intel® Core™ i9 processor 14900F,Intel® Core™ i9 processor 14900KS
주요 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제품 콜렉션,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,10세대 인텔® 코어™ i9 프로세서,10세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,12세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,13세대 인텔® 코어™ i9 프로세서,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 processors (14th gen)
수직 분야,Embedded,Embedded,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop
프로세서 번호,i9-12900TE,i9-12900E,i9-12900H,i9-12900HK,i9-12900,i9-12900F,i9-12900K,i9-12900KF,i9-12900T,i9-10900TE,i9-10900E,i9-12900KS,i9-12950HX,i9-12900HX,i9-13900K,i9-13900KF,i9-13900T,i9-13900,i9-13900F,i9-13900E,i9-13900H,i9-13980HX,i9-13900HK,i9-13950HX,i9-13900TE,i9-13900KS,i9-13900HX,i9-13905H,i9-14900HX,i9-14900K,i9-14900KF,i9-14900T,i9-14900,i9-14900F,i9-14900KS
리소그래피,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
사용 조건,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,Embedded Broad Market Commercial Temp,,,,,Embedded Broad Market Commercial Temp,PC/Client/Tablet,,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet
고객 권장가격,$544.00,$544.00,$617.00,$697.00,$538.00-$568.00,$510.00-$540.00,$648.00-$658.00,$620.00-$630.00,$538.00,$488.00,$488.00,$813.00-$823.00,$590.00,$668.00,$589.00-$599.00,$564.00-$574.00,$549.00,$549.00-$579.00,$524.00-$554.00,$554.00,$617.00,$668.00,$697.00,$590.00,$554.00,$689.00-$699.00,$668.00,$697.00,$679.00,$589.00-$599.00,$564.00-$574.00,$549.00,$549.00-$579.00,$524.00-$554.00,$689.00-$699.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코어 수,16,16,14,14,16,16,16,16,16,10,10,16,16,16,24,24,24,24,24,24,14,24,14,24,24,24,24,14,24,24,24,24,24,24,24
Performance-core의 수,8,8,6,6,8,8,8,8,8,,,8,8,8,8,8,8,8,8,8,6,8,6,8,8,8,8,6,8,8,8,8,8,8,8
Efficient-core의 수,8,8,8,8,8,8,8,8,8,,,8,8,8,16,16,16,16,16,16,8,16,8,16,16,16,16,8,16,16,16,16,16,16,16
총 스레드 수,24,24,20,20,24,24,24,24,24,20,20,24,24,24,32,32,32,32,32,32,20,32,20,32,32,32,32,20,32,32,32,32,32,32,32
최대 터보 주파수,4.80 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,4.90 GHz,4.50 GHz,4.70 GHz,5.50 GHz,5.00 GHz,5.00 GHz,5.80 GHz,5.8 GHz,5.30 GHz,5.60 GHz,5.60 GHz,5.20 GHz,5.40 GHz,5.60 GHz,5.40 GHz,5.50 GHz,5.00 GHz,6.00 GHz,5.40 GHz,5.40 GHz,5.8 GHz,6 GHz,6 GHz,5.5 GHz,5.8 GHz,5.8 GHz,6.2 GHz
인텔® 터보 부스트 기술 2.0 주파수‡,4.80 GHz,5.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance-core 최대 터보 주파수,4.80 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,4.80 GHz,,,5.20 GHz,5.00 GHz,5.00 GHz,5.40 GHz,5.40 GHz,5.10 GHz,5.20 GHz,5.20 GHz,5.20 GHz,5.40 GHz,5.60 GHz,5.40 GHz,5.50 GHz,5.00 GHz,5.40 GHz,5.40 GHz,5.40 GHz,5.8 GHz,5.6 GHz,5.6 GHz,5.1 GHz,5.4 GHz,5.4 GHz,5.7 GHz
Efficient-core 최대 터보 주파수,3.60 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.90 GHz,3.90 GHz,3.60 GHz,,,4.00 GHz,3.60 GHz,3.60 GHz,4.30 GHz,4.30 GHz,3.90 GHz,4.20 GHz,4.20 GHz,4.00 GHz,4.10 GHz,4.00 GHz,4.10 GHz,4.00 GHz,3.90 GHz,4.30 GHz,3.90 GHz,4.10 GHz,4.1 GHz,4.4 GHz,4.4 GHz,4 GHz,4.3 GHz,4.3 GHz,4.5 GHz
Performance-core 기본 주파수,1.10 GHz,2.30 GHz,,,2.40 GHz,2.40 GHz,3.20 GHz,3.20 GHz,1.40 GHz,,,3.40 GHz,,,3.00 GHz,3.00 GHz,1.10 GHz,2.00 GHz,2.00 GHz,1.80 GHz,,,,,1.00 GHz,3.20 GHz,,,2.2 GHz,3.2 GHz,3.2 GHz,1.1 GHz,2 GHz,2 GHz,3.2 GHz
Efficient-core 기본 주파수,1.00 GHz,1.70 GHz,,,1.80 GHz,1.80 GHz,2.40 GHz,2.40 GHz,1.00 GHz,,,2.50 GHz,,,2.20 GHz,2.20 GHz,800 MHz,1.50 GHz,1.50 GHz,1.30 GHz,,,,,800 MHz,2.40 GHz,,,1.6 GHz,2.4 GHz,2.4 GHz,800 MHz,1.5 GHz,1.5 GHz,2.4 GHz
캐시,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache
총 L2 캐시,14 MB,14 MB,,,14 MB,14 MB,14 MB,14 MB,14 MB,,,14 MB,,,32 MB,32 MB,32 MB,32 MB,32 MB,32 MB,,,,,32 MB,32 MB,,,,32 MB,32 MB,32 MB,32 MB,32 MB,32 MB
프로세서 기반 성능,35 W,65 W,45 W,45 W,65 W,65 W,125 W,125 W,35 W,,,150 W,55 W,55 W,125 W,125 W,35 W,65 W,65 W,65 W,45 W,55 W,45 W,55 W,35 W,150 W,55 W,45 W,55 W,125 W,125 W,35 W,65 W,65 W,150 W
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,4.90 GHz,4.50 GHz,4.70 GHz,5.30 GHz,5.00 GHz,5.00 GHz,5.70 GHz,5.70 GHz,5.30 GHz,5.50 GHz,5.50 GHz,,5.40 GHz,5.50 GHz,5.40 GHz,5.50 GHz,,5.80 GHz,5.40 GHz,5.40 GHz,5.7 GHz,5.8 GHz,5.8 GHz,5.5 GHz,5.6 GHz,5.6 GHz,5.9 GHz
Maximum Turbo Power,,,115 W,115 W,202 W,202 W,241 W,241 W,106 W,,,241 W,157 W,157 W,253 W,253 W,106 W,219 W,219 W,,115 W,157 W,115 W,157 W,,253 W,157 W,115 W,157 W,253 W,253 W,106 W,219 W,219 W,253 W
Minimum Assured Power,,,35 W,35 W,,,,,,,,,45 W,45 W,,,,,,,35 W,45 W,35 W,45 W,,,45 W,35 W,45 W,,,,,,
Processor Base Frequency,,,,,,,,,,1.80 GHz,2.80 GHz,,,,,,,,,1.80 GHz,,,,,1.00 GHz,,,,,,,,,,
Bus Speed,,,,,,,,,,8 GT/s,8 GT/s,,,,,,,,,,,,,,,,,,,,,,,,
TDP,,,,,,,,,,35 W,65 W,,,,,,,,,65 W,,,,,35 W,,,,,,,,,,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,4.70 GHz,5.50 GHz,,,5.80 GHz,5.80 GHz,,5.60 GHz,5.60 GHz,,,5.60 GHz,,,,6.00 GHz,,,5.8 GHz,6 GHz,6 GHz,,5.8 GHz,5.8 GHz,6.2 GHz
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,예,예,예,예,,,예,예,Yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보조 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상태,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
출시일,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q4'21,Q4'21,Q1'22,Q2'20,Q2'20,Q1'22,Q2'22,Q2'22,Q4'22,Q4'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'24,Q4'23,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24
사용 가능한 임베디드 옵션,예,예,아니요,아니요,예,아니요,아니요,아니요,아니요,예,예,아니요,아니요,아니요,아니요,아니요,아니요,예,아니요,예,아니요,아니요,아니요,아니요,예,아니요,아니요,아니요,No,No,No,Yes,Yes,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메모리 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최대 메모리 크기(메모리 유형에 따라 다름),128 GB,128 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,192 GB,192 GB,192 GB,192 GB,192 GB,128 GB,96 GB,192 GB,96 GB,192 GB,128 GB,192 GB,192 GB,64 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB
