Product Name,Specifications
맥스엘리트  MAXWELL BARON 800W 80PLUS BRONZE 플랫,"ATX 파워, 정격출력:800W, 80 PLUS 브론즈, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):3개, SATA:3개, SATA3.3:3개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만, 플랫케이블"
darkFlash  UPMOST 750W 80PLUS GOLD FULL MODULAR 블랙,"ATX 파워, 정격출력:750W, 80 PLUS 골드, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):3개, SATA:8개, IDE 4핀:4개, FDD:1개, 팬리스모드, 프리볼트, 플랫케이블"
쿨러마스터  MWE 700 BRONZE V2 230V,"ATX 파워, 정격출력:700W, 80 PLUS 브론즈, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, 120mm 팬, 깊이:140mm, 무상 5년, [커넥터], 케이블일체형, 메인전원:24핀, 보조전원:8+4+4핀 1개, PCIe 8핀(6+2):4개, SATA:6개, IDE 4핀:3개, [부가기능], 플랫케이블"
마이크로닉스  Classic II 풀체인지 700W 80PLUS BRONZE 230V EU,"ATX 파워, 정격출력:700W, 80 PLUS 브론즈, ETA인증:BRONZE, LAMBDA인증:STANDARD, 전압변동:±0.3%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 80PLUS 인증 등급 상향: 스탠다드→브론즈 / 무상 보증 기한 연장: 6년→7년 // 23년 5월 PCIE 6+2 (4개) → PCIE 6+2 (2개), 12VHPWR 12+4 (1개)로 변경"
마이크로닉스  Classic II 풀체인지 600W 80PLUS BRONZE 230V EU,"ATX 파워, 정격출력:600W, 80 PLUS 브론즈, ETA인증:BRONZE, LAMBDA인증:STANDARD+, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4핀 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 80PLUS 인증 등급 상향: 스탠다드→브론즈 / 무상 보증 기한 연장: 6년→7년"
잘만  MegaMax 600W 80PLUS STANDARD,"ATX 파워, 정격출력:600W, 80 PLUS 스탠다드, +12V 싱글레일, +12V 가용률:90%, 액티브PFC, PF(역률):98%, 120mm 팬, 깊이:140mm, 무상 6년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8(4+4)+4핀 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:4개, FDD:1개, [부가기능], 자동 팬 조절, 대기전력 1W 미만, 플랫케이블"
시소닉  NEW FOCUS GX-850 GOLD Full Modular ATX 3.0,"ATX 파워, 정격출력:850W, 80 PLUS 골드, +12V 싱글레일, 액티브PFC, PF(역률):99%, 135mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):3개, SATA:8개, SATA3.3:2개, IDE 4핀:3개, [부가기능], 팬리스모드, 자동 팬 조절"
마이크로닉스  Classic II 850W 80PLUS GOLD 230V EU 풀모듈러,"ATX 파워, 정격출력:850W, 80 PLUS 골드, 전압변동:±0.5%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:8개, IDE 4핀:4개, FDD:1개, [부가기능], 팬리스모드, 자동 팬 조절, 수동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 2023.03.20 제품 스펙 변경(12VHPWR 추가)"
앱코  SETTLER-II ST-700S 80PLUS STANDARD,"ATX 파워, 정격출력:700W, 80 PLUS 스탠다드, +12V 싱글레일, +12V 가용률:85%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 6년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):3개, SATA:7개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만, 플랫케이블"
마이크로닉스  Classic II 풀체인지 800W 80PLUS BRONZE 230V EU,"ATX 파워, 정격출력:800W, 80 PLUS 브론즈, ETA인증:SILVER, LAMBDA인증:STANDARD+, 전압변동:±0.6%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:8개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 80PLUS 인증 등급 상향: 스탠다드→브론즈 / 무상 보증 기한 연장: 6년→7년 / 23년 5월 PCIE 6+2핀(4개) → PCIE 6+2핀(2개), 12VHPWR 12+4핀(1개)로 변경"
